2017-01-10 20:31:42,092 DEBUG main:ChameleonRenderKitFactory:58 ajax4jsf.renderkit.ChameleonRenderKitFactory.<init>(ChameleonRenderKitFactory.java:58) ChameleonRenderKitFactory(RenderKitFactory) - Chameleon RenderKit factory instantiated
 %sn2017-01-10 20:31:42,180 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,180 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,181 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,181 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,181 DEBUG main:AjaxScript:45 ajax4jsf.javascript.AjaxScript.<init>(AjaxScript.java:45) AjaxScript() - Created instance of AjaxScript resource
 %sn2017-01-10 20:31:42,182 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,183 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,183 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,183 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,183 DEBUG main:AjaxScript:45 ajax4jsf.javascript.AjaxScript.<init>(AjaxScript.java:45) AjaxScript() - Created instance of AjaxScript resource
